#,CT,T,WTN,WS,TYPE,ST,TT
1,Natus Vincere,Fnatic,Fnatic,T,Pistol round,,
2,Natus Vincere,Fnatic,Fnatic,T,Semi-Eco,CT,Natus Vincere
3,Natus Vincere,Fnatic,Natus Vincere,CT,Eco,CT,Natus Vincere
4,Natus Vincere,Fnatic,Natus Vincere,CT,Eco,T,Fnatic
5,Natus Vincere,Fnatic,Fnatic,T,Normal,,
6,Natus Vincere,Fnatic,Fnatic,T,Normal,,
7,Natus Vincere,Fnatic,Natus Vincere,CT,Normal,,
8,Natus Vincere,Fnatic,Fnatic,T,Normal,,
9,Natus Vincere,Fnatic,Fnatic,T,Force buy,CT,Natus Vincere
10,Natus Vincere,Fnatic,Fnatic,T,Eco,CT,Natus Vincere
11,Natus Vincere,Fnatic,Natus Vincere,CT,Normal,,
12,Natus Vincere,Fnatic,Natus Vincere,CT,Normal,,
13,Natus Vincere,Fnatic,Natus Vincere,CT,Eco,T,Fnatic
14,Natus Vincere,Fnatic,Natus Vincere,CT,Normal,,
15,Natus Vincere,Fnatic,Natus Vincere,CT,Force buy,T,Fnatic
16,Fnatic,Natus Vincere,Natus Vincere,T,Pistol round,,
17,Fnatic,Natus Vincere,Natus Vincere,T,Eco,CT,Fnatic
18,Fnatic,Natus Vincere,Natus Vincere,T,Eco,CT,Fnatic
19,Fnatic,Natus Vincere,Fnatic,CT,Normal,,
20,Fnatic,Natus Vincere,Natus Vincere,T,Normal,,
21,Fnatic,Natus Vincere,Natus Vincere,T,Normal,,
22,Fnatic,Natus Vincere,Natus Vincere,T,Eco,CT,Fnatic
23,Fnatic,Natus Vincere,Natus Vincere,T,Normal,,
24,Fnatic,Natus Vincere,Fnatic,CT,Normal,,
25,Fnatic,Natus Vincere,Natus Vincere,T,Normal,,